,0
0,ARTHUR OLIVEIRA MAIA
1,CHICO DANGELO
2,CLARISSA GAROTINHO
3,DR. FREDERICO
4,ELCIONE BARBALHO
5,EVAIR VIEIRA DE MELO
6,EVANDRO ROMAN
7,FELIX MENDONCA JUNIOR
8,HIRAN GONCALVES
9,HUGO MOTTA
10,JOSE GUIMARAES
11,JOSE PRIANTE
12,LEUR LOMANTO JUNIOR
13,LOESTER TRUTIS
14,LUIZ FLAVIO GOMES
15,MARIO HERINGER
16,MARRECA FILHO
17,MAURO NAZIF
18,NELSON PELLEGRINO
19,NEREU CRISPIM
20,OSSESIO SILVA
21,PAULO ABI-ACKEL
22,PAULO EDUARDO MARTINS
23,PAULO PEREIRA DA SILVA
24,PEDRO UCZAI
25,PR. MARCO FELICIANO
26,PROFESSOR LUIZAO GOULART
27,PROFESSORA DAYANE PIMENTEL
28,REINHOLD STEPHANES JUNIOR
29,ROGERIO PENINHA MENDONCA
30,RUBENS PEREIRA JUNIOR
31,SANTINI
32,SOSTENES CAVALCANTE
33,UBIRATAN SANDERSON
